"1","Did the student contribute positively during the planning meeting?"
"2","Did the student contribute positively during the daily scrum meeting?"
"3","Did the student contribute positively during the client meeting?"
"4","Did the student contribute positively during the retrospective meeting?"
"5","Did the student make a positive contribution to coding activities?"
"6","Did the student make a positive contribution to non-coding activities?"
"7","Has the student merged work to master frequently?"
"8","Has the student stuck to the working agreement?"
